GS,SG,slug,PS,FS,V,atleta_id,jogos,PP,FC,DE,G,media,pontos,I,FT,CV,posicao_id,variacao,A,FD,nome,DP,PC,clube_id,DS,FF,CA,clube_nome,preco,apelido,season,rodada,target,media_5,std_5,G_media_5,A_media_5,SG_media_5,DS_media_5,FF_media_5,FS_media_5,pred
,12.0,alex-sandro,,16.0,,61987,20,,43.0,,,3.99,0.0,1.0,,,2,0.0,,2.0,Alex Sandro Lobo Silva,,,262,16.0,3.0,4.0,FLA,9.45,Alex Sandro,2025,38,0.0,1.8799999999999997,2.6517918470347537,,,11.2,16.0,3.0,16.0,3.197666666666657
,,ganso,,16.0,,62977,17,,6.0,,1.0,1.53,8.0,,,,4,1.14,,,Paulo Henrique Chagas de Lima,,,266,8.0,2.0,2.0,FLU,6.43,Ganso,2025,38,8.0,1.9,3.4713109915419524,1.0,,,7.6,2.0,16.0,2.637666666666668
,,neymar,,63.0,,63007,19,,20.0,,8.0,7.25,3.3,4.0,2.0,1.0,4,-3.08,2.0,15.0,Neymar da Silva Santos Júnior,,1.0,277,4.0,22.0,5.0,SAN,14.82,Neymar,2025,38,3.3,12.88,11.004635386963077,5.8,1.6,,4.0,16.8,59.0,15.258333333333331
,2.0,rafael-toloi,,2.0,,63008,7,,2.0,,,5.13,6.0,,,,3,-0.02,,,Rafael Toloi,,,276,17.0,,,SAO,9.38,Rafael Tolói,2025,38,6.0,3.8,3.4749100707788116,,,1.4,13.2,,2.0,3.992700000000002
,4.0,marcos-rocha,,13.0,,63013,11,,9.0,,,6.56,9.4,1.0,,,2,0.73,,1.0,Marcos Luis Rocha Aquino,,,284,31.0,1.0,,GRE,10.76,Marcos Rocha,2025,38,9.4,5.4399999999999995,3.643212867785796,,,3.2,26.4,1.0,11.6,6.125400000000006
,2.0,alan-ruschel,,25.0,,63110,18,,14.0,,,1.95,0.0,3.0,,1.0,2,-0.07,,1.0,Alan Luciano Ruschel,,1.0,286,16.0,,4.0,JUV,4.61,Alan Ruschel,2025,38,0.0,-0.16,0.3577708763999579,,,2.0,16.0,,25.0,-0.01933333333333333
,,edenilson,1.0,31.0,,63289,28,,17.0,,3.0,2.48,6.5,1.0,,,4,0.88,2.0,3.0,Edenílson Andrade dos Santos,,,284,14.0,7.0,6.0,GRE,5.51,Edenílson,2025,38,6.5,1.4000000000000004,2.8591956910991567,3.0,1.2,,13.2,7.0,30.8,2.1953333333333336
,,alan-patrick,,44.0,,68685,30,1.0,25.0,,11.0,6.16,8.7,6.0,3.0,,4,0.5,6.0,8.0,Alan Patrick Lourenço,,,285,23.0,12.0,6.0,INT,13.26,Alan Patrick,2025,38,8.7,7.26,5.0386506130113835,10.0,6.0,,21.6,10.8,40.2,4.897199999999994
,,eduardo,1.0,14.0,,68708,29,,22.0,,1.0,1.22,0.0,1.0,,1.0,4,-0.2,,3.0,Carlos Eduardo de Oliveira Alves,,,283,15.0,5.0,1.0,CRU,3.03,Eduardo,2025,38,0.0,0.39999999999999997,0.565685424949244,1.0,,,15.0,4.6,14.0,0.4226666666666671
3.0,,neto,,,,68806,3,,,7.0,,2.03,0.0,,,,1,0.0,,,Norberto Murara Neto,,,263,,,,BOT,7.25,Neto,2025,38,0.0,0.0,0.0,,,,,,,0.0
,,oscar,,4.0,,68811,6,,3.0,,,1.67,0.0,,,,4,0.0,,2.0,Oscar dos Santos Emboaba Júnior,,,276,5.0,,1.0,SAO,11.39,Oscar,2025,38,0.0,0.0,0.0,,,,5.0,,4.0,0.0
3.0,,marcelo-lomba,,,,68872,2,,,8.0,,3.7,4.2,,,,1,0.19,,,Marcelo Lomba do Nascimento,,,275,,,,PAL,7.82,Marcelo Lomba,2025,38,4.2,0.8400000000000001,1.8782971010998235,,,,,,,1.7705428571428559
,,philippe-coutinho,1.0,39.0,,68899,28,,19.0,,4.0,4.29,0.0,3.0,2.0,1.0,4,0.0,3.0,18.0,Philippe Coutinho Correia,,,267,14.0,20.0,3.0,VAS,9.06,Philippe Coutinho,2025,38,0.0,1.8200000000000003,3.342454188167731,4.0,3.0,,13.2,20.0,37.6,2.047666666666665
,,dudu,,17.0,,68920,16,,7.0,,3.0,3.4,17.6,4.0,1.0,,5,2.25,1.0,1.0,Eduardo Pereira Rodrigues,,,282,7.0,6.0,,CAM,9.93,Dudu,2025,38,17.6,3.5200000000000005,7.87095928079926,1.4,1.0,,6.2,6.0,16.2,6.434333333333342
38.0,11.0,rafael,,6.0,,68928,34,,,116.0,,4.97,8.1,,,,1,-0.26,,,Rafael Pires Monteiro,,,276,1.0,,3.0,SAO,10.09,Rafael,2025,38,8.1,3.9599999999999995,5.108130773580488,,,10.4,1.0,,6.0,3.208666666666666
,,marinho,,22.0,,68952,16,,24.0,,1.0,3.02,0.0,13.0,,1.0,5,0.0,2.0,5.0,Mário Sérgio Santos Costa,,,356,11.0,13.0,2.0,FOR,6.63,Marinho,2025,38,0.0,0.0,0.0,1.0,2.0,,11.0,13.0,22.0,0.0
,,lucas-sasha,,19.0,,68991,26,,47.0,,1.0,5.05,1.4,1.0,,,4,-0.04,,6.0,Lucas Pacheco Affini,,1.0,356,81.0,4.0,3.0,FOR,7.9,Lucas Sasha,2025,38,1.4,0.45999999999999924,0.654217089351868,1.0,,,78.8,4.0,19.0,0.4823333333333335
,,willian-jose,,18.0,,68996,31,1.0,11.0,,10.0,4.93,2.5,2.0,3.0,,5,0.35,6.0,13.0,Willian José da Silva,,,265,5.0,15.0,3.0,BAH,7.95,Willian José,2025,38,2.5,4.6000000000000005,5.389341332667659,10.0,5.6,,4.6,13.4,16.4,3.2163333333333335
,2.0,manoel,,2.0,,69014,5,,1.0,,,2.46,0.0,,,,3,0.0,,,Manoel Messias Silva Carvalho,,,266,,2.0,,FLU,5.3,Manoel,2025,38,0.0,0.0,0.0,,,2.0,,2.0,2.0,0.0
,,danilo-fernandes,,,,69051,0,,,,,-1.0,0.0,,,,1,0.0,,,Danilo Fernandes Batista,,,265,,,1.0,BAH,3.55,Danilo Fernandes,2025,38,0.0,0.0,0.0,,,,,,,0.0
,,pablo,,18.0,,69138,19,,15.0,,2.0,2.43,0.0,7.0,,,5,0.0,1.0,2.0,Pablo Felipe Teixeira,,,292,8.0,10.0,1.0,SPT,5.26,Pablo,2025,38,0.0,2.1999999999999997,4.919349550499534,1.8,1.0,,7.8,9.6,17.8,1.9509999999999998
,,allan,,11.0,,69140,20,,28.0,,,1.28,-0.3,,,,4,-0.35,,1.0,Allan Marques Loureiro,,,263,23.0,1.0,8.0,BOT,3.05,Allan,2025,38,-0.3,0.3999999999999998,0.8746427842267989,,,,21.4,1.0,10.0,0.7223333333333337
,9.0,danilo,,5.0,,69783,19,,15.0,,1.0,3.61,0.0,,,1.0,3,0.0,,2.0,Danilo Luiz da Silva,,,262,12.0,3.0,2.0,FLA,11.22,Danilo,2025,38,0.0,2.7600000000000002,3.2577599666028174,1.0,,8.2,11.4,2.4,5.0,3.88476666666667
,,lucas-moura,,11.0,,70164,10,,5.0,,2.0,3.52,0.0,1.0,,,4,0.0,,2.0,Lucas Rodrigues Moura da Silva,,1.0,276,6.0,6.0,,SAO,6.13,Lucas Moura,2025,38,0.0,0.0,0.0,2.0,,,6.0,6.0,11.0,0.0
,,bruno-uvini,,,,70221,0,,,,,0.0,0.0,,,,3,0.0,,,Bruno Uvini Bortolança,,,287,,,,VIT,4.0,Bruno Uvini,2025,38,0.0,0.0,0.0,,,,,,,0.0
,,eduardo-sasha,,34.0,,70360,30,,12.0,,6.0,3.95,1.1,3.0,2.0,1.0,5,0.13,2.0,22.0,Eduardo Colcenti Antunes,,,280,10.0,14.0,8.0,RBB,7.56,Eduardo Sasha,2025,38,1.1,-0.040000000000001056,0.8502940667792436,6.0,2.0,,10.0,14.0,31.6,-0.07166666666666677
37.0,3.0,gabriel,,3.0,,70449,21,,,85.0,,4.2,0.0,,,,1,0.0,,,Gabriel Vasconcelos Ferreira,,,292,,,2.0,SPT,6.11,Gabriel,2025,38,0.0,0.7,1.5652475842498517,,,3.0,,,3.0,0.5436666666666663
,,felipe-anderson,,16.0,,70592,27,,12.0,,3.0,4.92,0.0,2.0,1.0,,4,0.0,2.0,6.0,Felipe Anderson Pereira Gomes,,,275,51.0,10.0,,PAL,8.05,Felipe Anderson,2025,38,0.0,1.0,2.2360679774997974,3.0,2.0,,50.4,10.0,15.8,1.6506666666666658
,7.0,marllon,,10.0,,70666,22,,14.0,,2.0,3.31,0.0,,,,3,0.0,,,Marllon Gonçalves Jerônimo Borges,,,354,14.0,4.0,3.0,CEA,6.35,Marllon,2025,38,0.0,-0.06000000000000035,0.13416407865007243,2.0,,7.0,14.0,4.0,10.0,-0.22324999999999912
,,jorge-sampaoli,,,5.0,70800,11,,,,,6.06,9.87,,,,6,0.27,,,Jorge Sampaoli,,,282,,,,CAM,11.18,Jorge Sampaoli,2025,38,9.87,1.9740000000000006,4.4139981875845855,,,,,,,4.611831746031745
,3.0,diogo-barbosa,,11.0,,70916,15,,7.0,,1.0,3.54,0.0,,,,2,-0.53,,,Diogo Barbosa Mendanha,,,356,17.0,4.0,2.0,FOR,6.98,Diogo Barbosa,2025,38,0.0,0.34,1.3885243966167844,1.0,,3.0,15.8,4.0,11.0,1.6196666666666608
,,bruno-henrique,1.0,15.0,,70944,28,,38.0,,2.0,2.41,0.0,,,1.0,4,-0.12,,3.0,Bruno Henrique Corsini,,,285,31.0,11.0,1.0,INT,5.42,Bruno Henrique,2025,38,0.0,0.58,0.8438009243891613,2.0,,,30.8,10.2,14.2,0.29433333333333406
,,thiago-mendes,,3.0,,71123,7,,6.0,,,0.45,0.0,,,,4,0.0,,,Thiago Henrique Mendes Ribeiro,,,267,3.0,,1.0,VAS,3.51,Thiago Mendes,2025,38,0.0,0.52,1.0545141061171253,,,,2.6,,2.6,0.13933333333333317
,,vina,,6.0,,71162,15,,8.0,,,1.5,0.0,,1.0,1.0,4,-0.12,1.0,6.0,Vinícius Goes Barbosa de Souza,,,354,4.0,7.0,2.0,CEA,4.2,Vina,2025,38,0.0,-0.3600000000000004,0.8049844718999285,,1.0,,4.0,7.0,6.0,-0.26894999999999997
,,luiz-gustavo,,12.0,,71536,12,,17.0,,1.0,3.29,2.2,,1.0,,4,-0.33,,1.0,Luiz Gustavo Dias,,,276,16.0,3.0,,SAO,7.59,Luiz Gustavo,2025,38,2.2,2.5799999999999996,1.7725687574816371,1.0,,,12.8,2.6,9.2,2.816533333333336
3.0,3.0,fernando-miguel,,6.0,,71571,6,,,17.0,,6.18,0.0,,,,1,0.0,,,Fernando Miguel Kaufmann,,,354,,,,CEA,7.02,Fernando Miguel,2025,38,0.0,0.0,0.0,,,3.0,,,6.0,0.0
20.0,9.0,weverton,,10.0,,71631,25,,,57.0,,4.36,0.0,,,,1,0.0,,,Weverton Pereira da Silva,1.0,,275,,,2.0,PAL,7.96,Weverton,2025,38,0.0,0.0,0.0,,,9.0,,,10.0,0.0
,6.0,raul-caceres,,5.0,,71680,18,,22.0,,2.0,3.94,7.7,3.0,,,2,0.48,2.0,5.0,Raúl Alejandro Cáceres Bogado,,1.0,287,12.0,3.0,6.0,VIT,5.18,Raúl Cáceres,2025,38,7.7,4.44,4.3580959145021145,2.0,1.8,4.8,10.0,2.8,4.6,2.5530000000000013
,11.0,gustavo-gomez,,14.0,,71684,25,,33.0,,2.0,4.93,0.0,10.0,,,3,0.0,1.0,2.0,Gustavo Raúl Gómez Portillo,,,275,33.0,9.0,8.0,PAL,9.58,Gustavo Gómez,2025,38,0.0,1.1400000000000001,2.549117494349761,2.0,1.0,10.8,32.8,9.0,13.8,0.7016666666666664
,5.0,santiago-arias,,19.0,,71701,20,,8.0,,,3.6,4.5,3.0,,,2,-0.69,,3.0,Santiago Arias Naranjo,,2.0,265,25.0,5.0,3.0,BAH,6.52,Santiago Arias,2025,38,4.5,4.9799999999999995,5.107543440833372,,,4.2,20.2,4.2,19.0,5.118000000000003
,,cuellar,,14.0,,71709,16,,15.0,,,2.84,2.9,,,,4,0.26,,2.0,Gustavo Leonardo Cuellar Gallego,,,284,28.0,2.0,3.0,GRE,5.67,Cuéllar,2025,38,2.9,2.98,2.806599365780588,,,,25.8,1.5,14.0,3.2747000000000015
39.0,5.0,tiago-volpi,,9.0,,72018,29,,,93.0,1.0,4.02,0.0,,,,1,0.0,,,Tiago Luis Volpi,,1.0,284,,,2.0,GRE,6.44,Tiago Volpi,2025,38,0.0,1.56,3.6889022757454533,1.0,,5.0,,,9.0,1.1238999999999997
,,thomazella,,,,72279,0,,,,,0.0,0.0,,,,1,0.0,,,Carlos Eduardo Lecciolle Thomazella,,,2305,,,,MIR,2.0,Thomazella,2025,38,0.0,0.0,0.0,,,,,,,0.0
31.0,12.0,everson,,7.0,,72294,30,,,90.0,,4.76,5.0,,,,1,0.46,,,Everson Felipe Marques Pires,,,282,,,7.0,CAM,9.37,Everson,2025,38,5.0,1.0,2.2360679774997934,,,11.2,,,7.0,0.5707777777777776
,,luiz-otavio,,,,72359,0,,,,,0.0,0.0,,,,3,0.0,,,Luiz Otávio Anacleto Leandro,,,354,,,,CEA,4.0,Luiz Otávio,2025,38,0.0,0.0,0.0,,,,,,,0.0
,,fernando-diniz,,,10.0,72391,28,,,,,5.07,0.56,,,,6,-0.38,,,Fernando Diniz Silva,,,267,,,,VAS,8.94,Fernando Diniz,2025,38,0.56,3.0660000000000003,3.7952246310330597,,,,,,,3.3069000000000033
,,bernard,,8.0,,72460,23,,18.0,,,1.0,1.1,1.0,,,4,0.21,,1.0,Bernard Anício Caldeira Duarte,,,282,15.0,5.0,3.0,CAM,3.38,Bernard,2025,38,1.1,0.22000000000000003,0.4919349550499505,,,,14.2,5.0,7.2,0.31777777777777777
,13.0,alex-telles,,11.0,,72493,23,,18.0,,4.0,5.71,0.0,1.0,1.0,,2,-1.38,2.0,3.0,Alex Nicolao Telles,,,263,9.0,8.0,2.0,BOT,9.74,Alex Telles,2025,38,0.0,1.9,4.248529157249599,3.4,2.0,13.0,8.4,8.0,11.0,2.1076666666666664
,,pedro-henrique,,26.0,,72583,26,,28.0,,4.0,3.94,0.1,12.0,2.0,,5,-0.23,3.0,8.0,Pedro Henrique Konzen Medina da Silva,,1.0,354,23.0,12.0,7.0,CEA,6.96,Pedro Henrique,2025,38,0.1,0.24,0.3049590136395936,4.0,3.0,,22.2,12.0,25.8,0.19400000000000017
,8.0,vitor-hugo,,2.0,,72605,16,,9.0,,1.0,4.84,4.7,1.0,1.0,1.0,3,0.4,,,Vitor Hugo Franchescoli de Souza,,,282,20.0,4.0,2.0,CAM,7.97,Vitor Hugo,2025,38,4.7,0.9400000000000001,2.101903898849804,1.0,,7.2,20.0,4.0,2.0,1.3403333333333327
,3.0,wilker-angel,,4.0,,72801,17,,26.0,,1.0,1.51,0.0,2.0,,,3,0.0,,4.0,Wílker José Ángel Romero,,1.0,286,5.0,3.0,5.0,JUV,2.85,Wilker Ángel,2025,38,0.0,0.0,0.0,1.0,,3.0,5.0,3.0,4.0,0.0
,2.0,mercado,,8.0,,72951,13,,15.0,,1.0,3.37,9.0,,,,3,1.48,1.0,2.0,Gabriel Iván Mercado,,,285,13.0,3.0,3.0,INT,6.76,Mercado,2025,38,9.0,4.440000000000001,4.316595881015504,1.0,1.0,2.0,11.2,1.8,6.2,4.538700000000004
,5.0,daniel-borges,,9.0,,73318,15,,14.0,,2.0,4.49,0.0,,,,2,0.0,2.0,2.0,Daniel Fortunato Borges,,,2305,9.0,4.0,3.0,MIR,5.23,Daniel Borges,2025,38,0.0,0.0,0.0,2.0,2.0,5.0,9.0,4.0,9.0,0.0
,13.0,samuel-xavier,,31.0,,73384,27,,32.0,,4.0,5.61,9.2,,,,2,0.82,1.0,2.0,Samuel Xavier Brito,,,266,28.0,5.0,5.0,FLU,10.09,Samuel Xavier,2025,38,9.2,6.02,3.133209217399949,4.0,1.0,11.6,24.8,5.0,26.2,5.456233333333334
,,gabriel,1.0,27.0,,73515,24,,8.0,,4.0,3.14,0.0,8.0,,,4,0.0,2.0,8.0,Gabriel Santana Pinto,,,2305,6.0,7.0,2.0,MIR,5.38,Gabriel,2025,38,0.0,1.8199999999999998,3.312400941915095,4.0,1.8,,5.8,7.0,26.6,0.978666666666666
,,guilherme-marques,,9.0,,73781,10,,9.0,,1.0,2.48,0.0,,,,4,0.0,,,Guilherme Costa Marques,,,2305,9.0,3.0,1.0,MIR,4.39,Guilherme Marques,2025,38,0.0,0.27999999999999925,0.521536192416202,1.0,,,9.0,3.0,8.4,0.28866666666666785
,,rincon,,7.0,,74187,17,,25.0,,,1.35,2.7,,,1.0,4,0.21,,,Tomás Eduardo Rincón Hernández,,,277,19.0,7.0,4.0,SAN,3.49,Rincón,2025,38,2.7,0.54,1.2074767078498871,,,,17.4,7.0,7.0,0.30700000000000005
,,carrillo,,14.0,,77485,22,,31.0,,1.0,2.31,1.2,2.0,,,4,-0.31,1.0,1.0,André Martín Carrillo Díaz,,,264,25.0,6.0,3.0,COR,5.42,Carrillo,2025,38,1.2,1.16,1.342758355028929,1.0,1.0,,23.4,6.0,13.6,1.1933333333333347
,6.0,cedric-soares,,9.0,,77656,25,,16.0,,,3.25,0.2,,,,2,-0.6,3.0,,Cédric Ricardo Alves Soares,,,276,23.0,5.0,2.0,SAO,6.36,Cédric Soares,2025,38,0.2,0.7,1.4560219778561017,,3.0,6.0,23.0,5.0,8.2,0.3926666666666667
,,sergio-oliveira,,12.0,,77664,16,,16.0,,1.0,3.67,0.5,,1.0,,4,-0.2,1.0,6.0,Sérgio Miguel Relvas de Oliveira,,,292,22.0,8.0,5.0,SPT,7.51,Sérgio Oliveira,2025,38,0.5,0.09999999999999964,0.22360679774996745,1.0,1.0,,22.0,8.0,11.2,0.19466666666666665
,,romarinho,,4.0,,77738,5,,,,,1.56,0.0,,,,5,0.0,,1.0,Romário Ricardo da Silva,,,287,2.0,2.0,,VIT,5.44,Romarinho,2025,38,0.0,0.0,0.0,,,,2.0,2.0,4.0,0.0
,,joao-schmidt,,13.0,,77777,30,,44.0,,2.0,2.63,7.7,1.0,,,4,0.86,2.0,2.0,João Felipe Schmidt Urbano,,,277,39.0,7.0,7.0,SAN,5.54,João Schmidt,2025,38,7.7,4.44,5.410452846111867,1.3333333333333333,2.0,,37.2,7.0,12.6,4.96933333333334
,,everaldo,,26.0,,78117,28,1.0,32.0,,2.0,1.58,1.1,3.0,1.0,,5,-0.07,,9.0,Everaldo Stum,,,266,3.0,16.0,2.0,FLU,3.32,Everaldo,2025,38,1.1,1.7,1.3910427743243488,2.0,,,3.0,14.8,22.6,1.5756666666666612
,5.0,gustavo-henrique,,8.0,,78248,23,,22.0,,3.0,4.17,0.0,1.0,1.0,,3,0.0,,7.0,Gustavo Henrique Vernes,,,264,24.0,9.0,5.0,COR,6.76,Gustavo Henrique,2025,38,0.0,3.7399999999999998,4.0277785440612295,2.6,,5.0,23.2,8.0,8.0,3.3856333333333364
,,vitinho,,10.0,,78435,12,,7.0,,,3.88,0.0,1.0,1.0,,5,0.0,3.0,5.0,Victor Vinícius Coelho dos Santos,,,264,11.0,4.0,,COR,7.74,Vitinho,2025,38,0.0,3.1799999999999997,2.67805899860328,,2.0,,11.0,3.2,9.2,5.162333333333329
,12.0,rene,,23.0,,78445,26,,20.0,,1.0,6.47,7.5,,,,2,0.01,,,Renê Rodrigues Martins,,1.0,266,62.0,6.0,2.0,FLU,10.27,Renê,2025,38,7.5,4.64,3.717929531338644,1.0,,10.8,57.8,6.0,21.0,3.941433333333331
,,willian-arao,,10.0,,78478,12,,10.0,,,2.0,1.7,1.0,1.0,,4,-0.18,,1.0,Willian Souza Arão da Silva,,1.0,277,11.0,3.0,,SAN,5.16,Willian Arão,2025,38,1.7,2.02,1.5221695043588281,,,,9.6,2.4,7.4,2.275333333333333
,,gabriel,,27.0,,78605,30,,43.0,,1.0,2.86,1.5,,1.0,,4,-0.23,,1.0,Gabriel Girotto Franco,,,280,52.0,7.0,11.0,RBB,5.42,Gabriel,2025,38,1.5,0.7799999999999999,1.1144505372604159,1.0,,,50.8,7.0,27.0,0.8073333333333336
,9.0,reinaldo,1.0,27.0,,78850,32,1.0,23.0,,13.0,7.94,0.0,1.0,,,2,0.0,6.0,14.0,Reinaldo Manoel da Silva,,2.0,2305,31.0,20.0,6.0,MIR,10.79,Reinaldo,2025,38,0.0,5.459999999999998,6.305394515809455,12.8,6.0,8.8,31.0,19.2,26.4,7.38
,,richard,,,,78851,0,,,,,-1.0,0.0,,,,1,0.0,,,Richard de Oliveira Costa,,,354,,,1.0,CEA,4.53,Richard,2025,38,0.0,0.0,0.0,,,,,,,0.0
,6.0,thiago-santos,,3.0,,78855,10,,10.0,,,4.24,0.0,,,,3,0.0,,,Thiago dos Santos,,,266,10.0,1.0,2.0,FLU,6.52,Thiago Santos,2025,38,0.0,2.0799999999999996,4.820477154805318,,,5.8,9.2,1.0,3.0,0.6049999999999995
10.0,,alex-muralha,,1.0,,79066,7,,,21.0,,2.12,0.0,,,,1,0.0,,,Alex Roberto Santana Rafael,,,2305,,,3.0,MIR,2.82,Alex Muralha,2025,38,0.0,0.0,0.0,,,,,,1.0,0.0
32.0,8.0,bruno-ferreira,,11.0,,79266,29,,1.0,79.0,,3.92,0.9,,,,1,-0.33,,,Bruno Ferreira Ventura Diniz - de Lins,,,354,,,2.0,CEA,6.01,Bruno Ferreira,2025,38,0.9,2.16,1.8662797217994946,,,8.0,,,11.0,2.022966666666666
,,cano,,24.0,,79631,20,,9.0,,6.0,4.49,0.0,5.0,2.0,,5,0.0,,5.0,Germán Ezequiel Cano,,,266,4.0,20.0,1.0,FLU,8.64,Cano,2025,38,0.0,0.0,0.0,6.0,,,4.0,20.0,24.0,0.0
,,lucas-silva,,24.0,,79701,34,,56.0,,2.0,1.92,0.0,,1.0,,4,0.0,2.0,3.0,Lucas Silva Borges,,,283,24.0,13.0,8.0,CRU,4.23,Lucas Silva,2025,38,0.0,-0.2999999999999997,1.1357816691600577,2.0,2.0,,24.0,12.2,23.4,-0.3292222222222209
9.0,,helton-leite,,1.0,,79973,4,,,12.0,,1.77,0.0,,,,1,0.0,,,Helton Brant Aleixo Leite,,,356,,,,FOR,5.13,Helton Leite,2025,38,0.0,0.0,0.0,,,,,,1.0,0.0
,,saul,,5.0,,80061,15,,30.0,,,3.7,0.0,,1.0,,4,0.0,1.0,2.0,Saúl Ñíguez Esclapez,,,262,31.0,9.0,2.0,FLA,8.59,Saúl,2025,38,0.0,0.58,0.7949842765740719,,1.0,,30.4,9.0,5.0,0.5487000000000003
,,ze-roberto,,,,80076,0,,,,,0.0,0.0,,,,5,0.0,,,José Roberto Assunção de Araújo Filho,,,292,,,,SPT,6.0,Zé Roberto,2025,38,0.0,0.0,0.0,,,,,,,0.0
